NENTREVI;TIPORELI;prelig;impdio;configle;misa;dios;vidadesp;infierno;pecado;homosex;prostit;aborto;divorcio;eutana;suicid;INDIVIDU;Material;postmat;ideolog;ideolor;SEXO;ecivil;edad;estudi;ocupac;clase
1;1.00;1;99;1;1;1.00;2.00;2.00;1.00;1;5;1;1;1;1;-0.01693;1.10954;1;99;4.00;1;1;45.00;12;8;3
5;4.00;99;1;4;3;2.00;2.00;2.00;2.00;8;8;8;8;8;2;0.60749;0.82414;2;3;1.00;1;6;26.00;14;8;4
9;3.00;1;8;3;2;1.00;2.00;2.00;1.00;2;1;7;6;1;10;0.06201;2.26068;2;99;4.00;2;1;47.00;12;99;4
10;2.00;2;7;2;2;1.00;2.00;2.00;2.00;6;5;4;4;4;5;-0.18499;-0.25134;2;7;3.00;1;1;41.00;21;3;1
11;2.00;2;7;2;2;1.00;1.00;1.00;1.00;6;2;1;7;5;4;0.40561;0.51053;2;3;1.00;1;6;23.00;18;99;2
12;1.00;1;10;1;1;1.00;1.00;1.00;1.00;99;1;1;1;1;1;-0.53770;-0.09888;9;8;3.00;2;5;52.00;15;8;4
14;2.00;1;99;3;1;1.00;2.00;2.00;2.00;4;4;1;1;99;1;-0.46643;0.76774;1;8;3.00;1;6;27.00;21;5;3
20;4.00;3;1;4;3;2.00;2.00;2.00;2.00;10;1;5;10;2;1;0.57864;-0.33600;3;3;1.00;1;6;37.00;18;7;3
21;1.00;1;9;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.02107;-0.02960;1;10;3.00;2;1;64.00;21;99;3
29;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;0.08608;-0.10564;2;7;3.00;2;6;63.00;17;5;2
31;2.00;1;99;2;2;1.00;1.00;2.00;1.00;1;2;5;1;2;1;-0.35323;-0.14387;1;7;3.00;2;1;36.00;12;99;3
32;2.00;1;5;1;2;1.00;1.00;2.00;1.00;2;1;1;1;1;1;0.15191;2.22310;1;8;3.00;2;6;18.00;14;9;4
33;3.00;1;8;3;2;1.00;1.00;2.00;1.00;3;1;1;1;1;3;0.69268;-0.19794;2;3;1.00;1;6;26.00;14;9;4
34;2.00;2;4;2;2;1.00;2.00;2.00;2.00;1;1;99;99;99;99;0.12917;0.86019;2;4;1.00;1;1;60.00;12;10;3
