v3;v28;v30;v31;v32;v33;v34;v35;v37;v135;v178;v179;v181;v182;v183;v184;v185;v186;v187;v188;v189;v190;v191;v197;v198;v199;v200;v201;v202;v210;v214;v216;v218;edad;añonac;v89;v90;TIPORELI;order;moresay;prices;speech;maneras;indep;trduro;respon;imag;toleran;ahorro;determi;ferelig;noego;obedien;intpoli;menosdin;INDIV;AUTOEXPR;STATUSR;v123
1;2;3;3;3;3;3;3;3;1;2;1;2;1;1;#¡NULO!;1;2;2;1;1;#¡NULO!;1;1;5;1;1;1;1;98;1;45;12;45.00;1.936;1;2;1.00;1.00;0.00;2.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;2.00;0.05203;-1.81053;-0.82;#¡NULO!
2;2;1;3;3;3;3;3;3;1;1;1;2;1;1;#¡NULO!;1;1;1;1;1;10;1;5;2;1;7;10;10;98;1;20;18;20.00;1.961;6;#¡NULO!;1.00;2.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;2.00;3.00;-0.15050;-1.12216;1.24;7
3;1;3;3;3;3;3;3;2;3;2;1;4;1;1;2;#¡NULO!;2;2;2;2;8;#¡NULO!;10;5;1;10;5;1;98;2;18;16;18.00;1.963;1;#¡NULO!;3.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;1.00;1.00;3.00;-0.46099;-1.48949;-0.89;6
4;3;3;3;3;3;1;3;2;2;1;1;2;2;1;1;1;1;1;1;1;7;1;5;5;1;3;4;5;98;2;71;12;71.00;1.910;1;#¡NULO!;1.00;1.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;0.66459;-1.18882;-1.63;#¡NULO!
5;3;3;3;3;3;3;3;2;4;3;10;7;#¡NULO!;2;2;2;2;2;2;2;1;2;8;8;8;8;8;2;77;1;26;14;26.00;1.955;6;#¡NULO!;4.00;1.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;1.00;3.00;0.01325;0.43268;-1.30;3
6;3;3;3;3;3;3;3;2;4;1;10;7;2;2;2;2;2;2;2;2;1;2;5;5;3;5;1;9;98;1;47;14;47.00;1.934;1;1;4.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;3.00;-0.89213;-0.56129;-0.94;3
7;3;3;3;3;3;3;3;2;2;2;1;3;1;1;1;1;2;2;1;1;5;1;5;5;5;6;1;5;98;2;19;14;19.00;1.962;6;#¡NULO!;2.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;2.00;3.00;-0.68653;0.04081;-1.23;3
8;3;3;3;3;3;3;3;2;3;2;1;7;2;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;1;2;2;99;#¡NULO!;3;5;1;1;1;2;29;18;29.00;1.952;1;#¡NULO!;4.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;3.00;2.00;-1.00771;0.45397;0.33;1
9;2;3;3;3;3;3;3;3;3;1;1;3;1;1;#¡NULO!;1;2;2;1;1;8;#¡NULO!;2;1;7;6;1;10;98;2;47;12;47.00;1.934;1;2;3.00;2.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;3.00;-0.32384;-1.60906;-1.76;#¡NULO!
10;3;3;3;3;3;3;3;2;2;2;1;3;2;1;2;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;7;1;6;5;4;4;4;5;98;1;41;21;41.00;1.940;1;2;2.00;2.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;3.00;-0.22718;-0.05280;1.98;7
