v3;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v27;v28;v30;v31;v32;v33;v34;v35;v37;v51;v52;v53;v54;v55;v57;v64;v65;v66;v75;v76;v77;v78;v79;v80;v81;v82;v83;v84;v85;v86;v87;v88;v89;v90;v91;v92;v93;v94;v95;v96;v106;v107;v110;v111;v112;v113;v114;v115;v116;v117;v118;v119;v120;v121;v122;v123;v124;v135;v136;v137;v138;v140;v141;v144;v145;v146;v177;v178;v179;v180;v181;v182;v183;v184;v185;v186;v187;v188;v189;v190;v191;v192;v193;v194;v195;v196;v197;v198;v199;v200;v201;v202;v203;v204;v205;v210;v214;v215;v216;v218;v219;v220;v221;v222;v223;v224;v226;v227;v229;v232;v233;v234;v238;natwave;v1000mpm;v1010mpm;agegroup;grupoeda;v197n;v9r;jovenes;v22r;v182r;v183r;v190r;añonac;GENERAC;configle;misa;prelig;tiporeli;tiporelr;ideolor2;genero;claser;añoeduc;EUROCAT;impdior;ideolor;ideolo;dios;vida;infierno;pecado;IMPDIO;order;moresay;prices;speech;maneras;indep;trduro;respon;imag;toleran;ahorro;determi;ferelig;noego;obedien;intpoli;menosdin;INDIV;AUTOEX;STATUS;STATUSR;edadnuev
2;2;3;2;2;2;1;1;2;2;2;1;2;1;2;2;2;2;1;3;3;3;3;3;3;2;2;2;2;2;2;10;9;8;1;1;1;2;1;2;1;2;2;1;2;#¡NULO!;2;1;6;#¡NULO!;3;1;2;#¡NULO!;2;1;1;3;1;1;3;1;2;2;1;3;2;2;1;2;3;7;2;1;1;4;1;4;1;4;4;3;2;1;1;#¡NULO!;2;1;1;#¡NULO!;1;1;1;1;1;10;1;1;3;7;1;1;5;2;1;7;10;10;2;3;2;98;1;61;20;18;2;6;#¡NULO!;2;#¡NULO!;2;2;8;0;1;1;#¡NULO!;0;81;1;9;1;1;5;8;1;1;1;1;4;1.964;#¡NULO!;1;1;1;1;4;7;1;4;18;4;10;7;3;1;2;1;1;1;2;0;1;0;0;1;1;0;0;0;1;0;1;0;0;2;3;-0.15050;-1.12216;1.137384713746;1.240450150053;17.00
3;1;3;2;2;2;2;2;2;2;1;1;2;2;2;1;2;1;3;3;3;3;3;3;2;2;2;1;1;2;2;9;10;9;1;1;1;2;1;2;1;2;1;2;2;2;2;2;1;#¡NULO!;2;1;1;2;1;2;3;1;2;1;1;1;1;1;1;4;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;6;2;3;2;2;3;1;2;1;2;3;3;2;1;#¡NULO!;4;1;1;2;#¡NULO!;2;2;2;2;8;#¡NULO!;1;7;7;1;1;10;5;1;10;5;1;3;1;1;98;2;63;18;16;#¡NULO!;5;#¡NULO!;2;#¡NULO!;7;3;3;0;1;1;#¡NULO!;0;81;1;9;1;1;10;8;1;2;1;1;3;1.964;#¡NULO!;0;0;1;3;2;6;0;3;16;4;8;6;3;1;2;2;2;2;1;0;2;0;0;0;0;0;0;1;1;0;0;0;1;1;3;-0.46099;-1.48949;-0.765006020717;-0.890809292757;17.00
5;2;2;2;2;2;2;1;2;2;1;1;2;2;2;2;#¡NULO!;3;3;3;3;3;3;3;2;2;2;2;2;2;2;3;3;4;1;2;1;2;2;2;2;2;2;2;2;2;2;2;6;#¡NULO!;#¡NULO!;2;2;1;1;2;2;1;2;1;2;3;2;3;2;4;3;3;3;3;3;3;1;4;4;4;4;4;4;4;4;4;2;3;10;#¡NULO!;7;#¡NULO!;2;2;2;2;2;2;2;1;2;8;8;8;8;2;8;8;8;8;8;2;2;1;2;77;1;55;26;14;1;1;8;1;0;0;4;4;0;1;1;#¡NULO!;0;81;2;9;2;3;8;8;1;2;8;2;1;1.964;#¡NULO!;0;0;0;4;1;3;1;2;14;4;1;3;1;2;2;2;2;4;1;2;0;0;0;0;1;0;0;1;1;0;0;0;0;1;3;0.01325;0.43268;-1.187920145735;-1.299760395403;17.00
7;2;3;2;2;2;2;2;2;2;1;2;2;2;2;1;2;3;3;3;3;3;3;3;2;2;2;2;2;1;2;9;7;6;2;2;2;1;2;2;2;2;2;2;1;1;#¡NULO!;2;6;#¡NULO!;3;1;2;2;#¡NULO!;1;1;3;1;1;1;2;1;1;3;3;3;3;#¡NULO!;3;3;3;2;2;2;2;2;3;2;3;2;2;3;2;1;#¡NULO!;3;1;1;1;1;2;2;1;1;5;1;1;3;3;1;1;5;5;5;6;1;5;1;3;2;98;2;62;19;14;1;1;9;2;#¡NULO!;8;4;5;0;1;1;#¡NULO!;0;81;1;9;1;1;5;8;1;2;1;1;2;1.964;#¡NULO!;1;0;1;2;3;3;0;2;14;4;5;3;1;1;1;2;1;3;2;0;1;0;0;0;0;0;0;1;0;0;0;0;1;2;3;-0.68653;0.04081;-1.136971380411;-1.229958847242;17.00
8;2;3;1;1;1;2;2;1;2;1;2;2;2;2;1;2;3;3;3;3;3;3;3;2;2;2;2;2;2;2;5;4;5;1;1;1;2;2;1;2;2;2;2;2;1;1;1;1;#¡NULO!;2;1;2;2;3;1;1;3;1;2;3;1;1;1;1;2;3;3;3;3;3;1;3;3;1;2;3;4;1;2;2;2;2;2;1;#¡NULO!;7;2;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;1;2;2;1;1;1;1;1;99;#¡NULO!;3;5;1;1;1;3;2;1;2;52;29;18;#¡NULO!;5;#¡NULO!;2;#¡NULO!;2;3;6;0;1;1;#¡NULO!;0;81;1;9;2;3;#¡NULO!;8;1;2;2;8;1;1.964;#¡NULO!;0;0;0;4;1;1;0;3;18;4;2;1;1;2;2;2;1;4;2;0;1;0;1;0;0;1;0;1;0;0;0;0;1;3;2;-1.00771;0.45397;0.342402192667;0.334308413236;17.00
11;2;3;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;2;1;1;2;2;2;4;6;4;2;2;1;2;2;2;2;2;1;2;2;2;3;2;6;#¡NULO!;2;2;1;1;2;3;3;2;1;2;2;2;3;1;2;4;1;1;1;1;1;3;2;2;3;3;1;3;2;2;4;4;3;1;1;#¡NULO!;4;2;1;1;1;1;1;1;1;7;2;3;4;5;4;7;6;2;1;7;5;4;3;2;3;98;1;58;23;18;1;6;#¡NULO!;2;#¡NULO!;2;2;6;0;2;1;6;0;81;2;9;1;2;6;8;1;2;2;1;3;1.964;#¡NULO!;1;0;0;2;3;3;1;4;18;4;7;3;1;1;1;1;1;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0.55758;-1.52573;0.821353868185;0.867029725469;17.00
14;3;2;1;1;1;1;2;1;2;2;1;2;1;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;#¡NULO!;7;5;1;1;1;2;1;2;2;2;1;2;2;1;#¡NULO!;2;6;#¡NULO!;8;1;2;2;2;1;1;3;2;2;1;1;1;1;3;3;2;2;1;2;3;8;2;3;1;3;4;4;1;3;3;2;3;2;1;#¡NULO!;2;1;1;#¡NULO!;1;2;2;#¡NULO!;2;#¡NULO!;1;4;4;1;2;1;4;4;1;1;#¡NULO!;1;3;2;1;4;1;54;27;21;1;1;5;2;#¡NULO!;#¡NULO!;3;6;0;2;1;6;0;81;1;9;2;3;4;8;1;1;1;1;5;1.964;#¡NULO!;0;1;1;2;3;8;1;3;21;4;#¡NULO!;8;3;1;2;2;2;5;2;0;1;0;1;1;0;1;0;0;1;0;1;0;0;2;2;-0.38139;-0.89672;0.616281692567;0.203947217550;17.00
25;3;2;2;#¡NULO!;2;1;2;2;1;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;2;2;1;1;2;2;7;4;#¡NULO!;1;2;1;2;2;2;1;2;2;2;1;1;2;2;6;#¡NULO!;4;2;2;1;1;1;2;4;2;1;1;2;3;1;3;2;2;2;1;2;2;#¡NULO!;#¡NULO!;4;4;4;2;3;4;4;4;4;3;2;8;#¡NULO!;7;2;2;#¡NULO!;2;2;2;2;2;2;2;6;6;6;7;2;8;8;7;8;3;4;5;1;4;77;1;62;19;14;1;3;7;2;#¡NULO!;8;3;3;0;3;1;#¡NULO!;0;81;3;9;1;1;8;8;1;2;2;2;1;1.964;#¡NULO!;0;0;0;4;1;5;1;3;14;4;2;#¡NULO!;4;2;2;2;2;4;0;2;0;1;0;1;0;0;1;0;0;0;0;0;0;3;3;2.48685;0.24126;-0.969410331343;-0.943877614082;17.00
26;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;2;2;2;2;2;2;6;6;6;1;1;1;2;1;2;2;2;2;2;1;1;2;2;1;1;2;1;#¡NULO!;2;1;1;1;4;#¡NULO!;1;1;1;2;1;1;2;2;#¡NULO!;2;#¡NULO!;3;3;2;4;3;3;2;3;3;2;3;4;2;2;10;#¡NULO!;7;2;2;2;2;2;2;2;2;1;2;3;4;3;5;1;5;5;7;6;3;2;4;98;3;2;1;55;26;15;#¡NULO!;1;8;1;0;0;4;3;0;1;1;#¡NULO!;0;81;2;9;2;3;5;8;1;2;2;2;1;1.964;#¡NULO!;0;0;0;4;1;3;1;2;15;4;1;3;1;2;2;2;2;4;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;3;-0.06427;0.33932;-1.229908398634;-1.508400756695;17.00
32;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;3;3;3;3;3;3;3;3;1;1;1;1;2;2;8;4;7;2;1;1;2;2;2;2;2;1;1;2;1;2;1;6;#¡NULO!;3;1;1;2;2;1;1;3;1;1;1;1;1;1;3;4;3;3;3;3;3;8;2;1;1;3;2;1;2;1;1;1;2;2;1;#¡NULO!;4;1;1;1;1;2;2;1;1;5;1;3;1;3;1;5;2;1;1;1;1;1;3;1;1;98;2;63;18;14;2;1;9;2;#¡NULO!;11;4;7;0;1;1;#¡NULO!;0;81;1;9;1;1;2;8;1;2;1;1;2;1.964;#¡NULO!;1;0;1;2;3;8;0;2;14;4;5;8;3;1;1;2;1;3;2;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;3;-0.48160;-0.87915;-1.075072858029;-1.140307579777;17.00
